(1, 12, 10)
(2, 13, 12)
(4, 8, 10)
(5, 10, 10)
(6, 30, 28)
(7, 10, 10)
(8, 16, 16)
(9, 14, 13)
(10, 11, 10)
(12, 9, 17)
(13, 10, 11)
(14, 11, 10)
(15, 11, 10)
(16, 17, 24)
(17, 16, 23)
(18, 35, 25)
(19, 26, 29)
(20, 12, 11)
(21, 21, 19)
(22, 10, 11)
(23, 13, 12)
(25, 14, 13)
(26, 14, 13)
(27, 9, 9)
(29, 10, 14)
(30, 26, 17)
(31, 31, 27)
(32, 12, 13)
(33, 14, 14)
(34, 14, 12)
(35, 26, 19)
(36, 18, 16)
(37, 31, 31)
(38, 14, 13)
(39, 24, 22)
(45, 18, 17)
(46, 15, 15)
(47, 22, 23)
(48, 25, 15)
(49, 32, 23)
(50, 12, 11)
(56, 28, 28)
(57, 18, 17)
(58, 19, 16)
(59, 26, 12)
(60, 24, 18)
(61, 18, 13)
(62, 13, 11)
(63, 14, 15)
(64, 15, 15)
(65, 21, 22)
(66, 20, 22)
(67, 25, 26)
(68, 18, 11)
(69, 10, 10)
(70, 17, 17)
(71, 13, 16)
(72, 11, 13)
(73, 19, 27)
(74, 19, 19)
(75, 19, 29)
(76, 25, 23)
(77, 14, 12)
(78, 18, 15)
(79, 15, 21)
(80, 19, 16)
(81, 15, 19)
(82, 16, 21)
(83, 11, 12)
(261, 15, 23)
